antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no'})",frozenset({'Genero_femenino'}),0.3181818181818182,0.5,0.2727272727272727,0.8571428571428571,1.7142857142857142,1.0,0.11363636363636362,3.4999999999999987,0.611111111111111,0.5,0.7142857142857142,0.7012987012987013
frozenset({'¿Cómo percibes el ambiente de los clubes estudiantiles en CETYS?_neutro'}),frozenset({'Genero_femenino'}),0.3181818181818182,0.5,0.22727272727272727,0.7142857142857143,1.4285714285714286,1.0,0.06818181818181818,1.75,0.43999999999999995,0.38461538461538464,0.4285714285714286,0.5844155844155844
frozenset({'¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?_2'}),frozenset({'Genero_femenino'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,1.0,0.045454545454545456,inf,0.55,0.18181818181818182,1.0,0.5909090909090909
"frozenset({'¿Que temas te resultas más interesantes?_programación, innovación y tecnología, emprendimiento'})",frozenset({'Genero_masculino'}),0.09090909090909091,0.45454545454545453,0.09090909090909091,1.0,2.2,1.0,0.049586776859504134,inf,0.6,0.20000000000000004,1.0,0.6
frozenset({'Genero_masculino'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_si'})",0.45454545454545453,0.5909090909090909,0.36363636363636365,0.8,1.353846153846154,1.0,0.0950413223140496,2.045454545454546,0.4791666666666668,0.5333333333333334,0.5111111111111112,0.7076923076923077
"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_nunca'})",frozenset({'Genero_masculino'}),0.09090909090909091,0.45454545454545453,0.09090909090909091,1.0,2.2,1.0,0.049586776859504134,inf,0.6,0.20000000000000004,1.0,0.6
"frozenset({'¿Por qué medio te eneteraste (o te enterarías) de actividades de Fox Coding?_amigos o conocidos, carteles o pantallas en campus'})",frozenset({'Genero_masculino'}),0.18181818181818182,0.45454545454545453,0.13636363636363635,0.7499999999999999,1.65,1.0,0.0537190082644628,2.1818181818181808,0.4814814814814814,0.2727272727272727,0.5416666666666665,0.5249999999999999
frozenset({'¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?_nunca'}),frozenset({'Genero_masculino'}),0.09090909090909091,0.45454545454545453,0.09090909090909091,1.0,2.2,1.0,0.049586776859504134,inf,0.6,0.20000000000000004,1.0,0.6
frozenset({'Carrera que estudias_ice'}),"frozenset({'¿Que temas te resultas más interesantes?_programación, innovación y tecnología'})",0.09090909090909091,0.2727272727272727,0.09090909090909091,1.0,3.666666666666667,1.0,0.06611570247933884,inf,0.8,0.33333333333333337,1.0,0.6666666666666667
frozenset({'Carrera que estudias_ice'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no'})",0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'Carrera que estudias_ice'}),frozenset({'¿Que tan confiado(a) te sientes en tus habilidades de programación?_3'}),0.09090909090909091,0.5909090909090909,0.09090909090909091,1.0,1.6923076923076923,1.0,0.0371900826446281,inf,0.45,0.15384615384615385,1.0,0.5769230769230769
frozenset({'Carrera que estudias_ice'}),frozenset({'¿Cómo percibes el ambiente de los clubes estudiantiles en CETYS?_muy acogedor'}),0.09090909090909091,0.5454545454545454,0.09090909090909091,1.0,1.8333333333333335,1.0,0.041322314049586785,inf,0.5000000000000001,0.16666666666666669,1.0,0.5833333333333334
frozenset({'Carrera que estudias_ice'}),frozenset({'¿Cómo te describirías en general?_depende del grupo o la situación'}),0.09090909090909091,0.5909090909090909,0.09090909090909091,1.0,1.6923076923076923,1.0,0.0371900826446281,inf,0.45,0.15384615384615385,1.0,0.5769230769230769
frozenset({'Carrera que estudias_ice'}),frozenset({'¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?_4'}),0.09090909090909091,0.5454545454545454,0.09090909090909091,1.0,1.8333333333333335,1.0,0.041322314049586785,inf,0.5000000000000001,0.16666666666666669,1.0,0.5833333333333334
frozenset({'Carrera que estudias_ice'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.09090909090909091,0.6818181818181818,0.09090909090909091,1.0,1.4666666666666668,1.0,0.02892561983471075,inf,0.3500000000000001,0.13333333333333336,1.0,0.5666666666666667
frozenset({'Carrera que estudias_ice'}),frozenset({'¿Qué tan importante es para ti el sentido de comunidad dentro de un club?_3'}),0.09090909090909091,0.2727272727272727,0.09090909090909091,1.0,3.666666666666667,1.0,0.06611570247933884,inf,0.8,0.33333333333333337,1.0,0.6666666666666667
frozenset({'Carrera que estudias_isw'}),frozenset({'Semestre actual_1'}),0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0,5.5,1.0,0.0743801652892562,inf,0.9,0.5000000000000001,1.0,0.75
"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no sabía que existia el club'})",frozenset({'Carrera que estudias_isw'}),0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,11.0,1.0,0.08264462809917356,inf,1.0,1.0,1.0,1.0
frozenset({'Carrera que estudias_isw'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no sabía que existia el club'})",0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,11.0,1.0,0.08264462809917356,inf,1.0,1.0,1.0,1.0
frozenset({'Carrera que estudias_isw'}),frozenset({'¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?_2-5 horas'}),0.09090909090909091,0.5454545454545454,0.09090909090909091,1.0,1.8333333333333335,1.0,0.041322314049586785,inf,0.5000000000000001,0.16666666666666669,1.0,0.5833333333333334
frozenset({'Carrera que estudias_isw'}),frozenset({'¿Qué valor le das a pertenecer a un club como Fox Coding?_3'}),0.09090909090909091,0.36363636363636365,0.09090909090909091,1.0,2.75,1.0,0.05785123966942149,inf,0.7,0.25,1.0,0.625
frozenset({'Carrera que estudias_isw'}),"frozenset({'¿Cómo te describirías en general?_extrovertido(a), me gusta convivir con nuevas personas'})",0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'Carrera que estudias_isw'}),frozenset({'¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?_4'}),0.09090909090909091,0.5454545454545454,0.09090909090909091,1.0,1.8333333333333335,1.0,0.041322314049586785,inf,0.5000000000000001,0.16666666666666669,1.0,0.5833333333333334
frozenset({'Carrera que estudias_isw'}),"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_frecuentemente'})",0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'Carrera que estudias_isw'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.09090909090909091,0.6818181818181818,0.09090909090909091,1.0,1.4666666666666668,1.0,0.02892561983471075,inf,0.3500000000000001,0.13333333333333336,1.0,0.5666666666666667
frozenset({'Carrera que estudias_isw'}),frozenset({'¿Qué tan importante es para ti el sentido de comunidad dentro de un club?_4'}),0.09090909090909091,0.6818181818181818,0.09090909090909091,1.0,1.4666666666666668,1.0,0.02892561983471075,inf,0.3500000000000001,0.13333333333333336,1.0,0.5666666666666667
frozenset({'Carrera que estudias_isw'}),frozenset({'¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?_diario'}),0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0,5.5,1.0,0.0743801652892562,inf,0.9,0.5000000000000001,1.0,0.75
"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no sabía que existia el club'})",frozenset({'Semestre actual_1'}),0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0,5.5,1.0,0.0743801652892562,inf,0.9,0.5000000000000001,1.0,0.75
frozenset({'Semestre actual_1'}),frozenset({'¿Cómo percibes el ambiente de los clubes estudiantiles en CETYS?_muy acogedor'}),0.18181818181818182,0.5454545454545454,0.13636363636363635,0.7499999999999999,1.375,1.0,0.0371900826446281,1.8181818181818175,0.33333333333333337,0.23076923076923073,0.4499999999999998,0.49999999999999994
frozenset({'Semestre actual_1'}),frozenset({'¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?_2-5 horas'}),0.18181818181818182,0.5454545454545454,0.13636363636363635,0.7499999999999999,1.375,1.0,0.0371900826446281,1.8181818181818175,0.33333333333333337,0.23076923076923073,0.4499999999999998,0.49999999999999994
frozenset({'Semestre actual_1'}),"frozenset({'¿Cómo te describirías en general?_extrovertido(a), me gusta convivir con nuevas personas'})",0.18181818181818182,0.3181818181818182,0.13636363636363635,0.7499999999999999,2.3571428571428568,1.0,0.07851239669421486,2.727272727272726,0.7037037037037037,0.37499999999999994,0.6333333333333331,0.5892857142857142
frozenset({'Semestre actual_1'}),frozenset({'¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?_4'}),0.18181818181818182,0.5454545454545454,0.18181818181818182,1.0,1.8333333333333335,1.0,0.08264462809917357,inf,0.5555555555555557,0.33333333333333337,1.0,0.6666666666666667
frozenset({'Semestre actual_1'}),"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_frecuentemente'})",0.18181818181818182,0.3181818181818182,0.18181818181818182,1.0,3.142857142857143,1.0,0.12396694214876033,inf,0.8333333333333334,0.5714285714285715,1.0,0.7857142857142858
frozenset({'Semestre actual_1'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.18181818181818182,0.6818181818181818,0.18181818181818182,1.0,1.4666666666666668,1.0,0.0578512396694215,inf,0.388888888888889,0.2666666666666667,1.0,0.6333333333333333
frozenset({'Semestre actual_5'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_si'})",0.22727272727272727,0.5909090909090909,0.18181818181818182,0.8,1.353846153846154,1.0,0.0475206611570248,2.045454545454546,0.33823529411764713,0.2857142857142857,0.5111111111111112,0.5538461538461539
frozenset({'Semestre actual_5'}),frozenset({'¿Qué valor le das a pertenecer a un club como Fox Coding?_4'}),0.22727272727272727,0.4090909090909091,0.18181818181818182,0.8,1.9555555555555555,1.0,0.08884297520661157,2.9545454545454546,0.6323529411764706,0.4,0.6615384615384616,0.6222222222222222
frozenset({'Semestre actual_5'}),frozenset({'¿Cómo te describirías en general?_depende del grupo o la situación'}),0.22727272727272727,0.5909090909090909,0.22727272727272727,1.0,1.6923076923076923,1.0,0.09297520661157024,inf,0.5294117647058824,0.3846153846153846,1.0,0.6923076923076923
frozenset({'Semestre actual_5'}),"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_a veces'})",0.22727272727272727,0.5,0.18181818181818182,0.8,1.6,1.0,0.06818181818181819,2.5000000000000004,0.4852941176470589,0.33333333333333337,0.6000000000000001,0.5818181818181818
frozenset({'Semestre actual_5'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.22727272727272727,0.6818181818181818,0.22727272727272727,1.0,1.4666666666666668,1.0,0.07231404958677687,inf,0.411764705882353,0.33333333333333337,1.0,0.6666666666666667
frozenset({'Semestre actual_5'}),frozenset({'¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?_varias veces por semana'}),0.22727272727272727,0.36363636363636365,0.18181818181818182,0.8,2.2,1.0,0.09917355371900827,3.1818181818181825,0.7058823529411765,0.4444444444444444,0.6857142857142858,0.65
frozenset({'Semestre actual_7'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_si'})",0.3181818181818182,0.5909090909090909,0.2727272727272727,0.8571428571428571,1.4505494505494505,1.0,0.08471074380165286,2.8636363636363624,0.4555555555555554,0.4285714285714285,0.6507936507936507,0.6593406593406592
frozenset({'Semestre actual_7'}),frozenset({'¿Que tan confiado(a) te sientes en tus habilidades de programación?_3'}),0.3181818181818182,0.5909090909090909,0.2727272727272727,0.8571428571428571,1.4505494505494505,1.0,0.08471074380165286,2.8636363636363624,0.4555555555555554,0.4285714285714285,0.6507936507936507,0.6593406593406592
"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_nunca'})",frozenset({'Semestre actual_7'}),0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me invitó un(a) amigo(a)'})",frozenset({'Semestre actual_7'}),0.18181818181818182,0.3181818181818182,0.18181818181818182,1.0,3.142857142857143,1.0,0.12396694214876033,inf,0.8333333333333334,0.5714285714285715,1.0,0.7857142857142858
frozenset({'¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?_nunca'}),frozenset({'Semestre actual_7'}),0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'¿Tienes experiencia previa en programación?_no'}),"frozenset({'¿Que te motiva a unirte a un club estudiantil?_aprender cosas nuevas, conocer personas con intereses similares, mejorar mi currículum, desarrollar habilidades profesionales'})",0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,1.0,0.07024793388429752,inf,0.85,0.4,1.0,0.7
frozenset({'¿Tienes experiencia previa en programación?_no'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_no'})",0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'¿Tienes experiencia previa en programación?_no'}),frozenset({'¿Que tan confiado(a) te sientes en tus habilidades de programación?_2'}),0.09090909090909091,0.3181818181818182,0.09090909090909091,1.0,3.142857142857143,1.0,0.06198347107438017,inf,0.75,0.28571428571428575,1.0,0.6428571428571429
frozenset({'¿Tienes experiencia previa en programación?_no'}),frozenset({'¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?_menos de 2 horas'}),0.09090909090909091,0.2727272727272727,0.09090909090909091,1.0,3.666666666666667,1.0,0.06611570247933884,inf,0.8,0.33333333333333337,1.0,0.6666666666666667
frozenset({'¿Tienes experiencia previa en programación?_no'}),"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_a veces'})",0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,1.0,0.045454545454545456,inf,0.55,0.18181818181818182,1.0,0.5909090909090909
frozenset({'¿Tienes experiencia previa en programación?_no'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.09090909090909091,0.6818181818181818,0.09090909090909091,1.0,1.4666666666666668,1.0,0.02892561983471075,inf,0.3500000000000001,0.13333333333333336,1.0,0.5666666666666667
frozenset({'¿Tienes experiencia previa en programación?_no'}),frozenset({'¿Qué tan importante es para ti el sentido de comunidad dentro de un club?_4'}),0.09090909090909091,0.6818181818181818,0.09090909090909091,1.0,1.4666666666666668,1.0,0.02892561983471075,inf,0.3500000000000001,0.13333333333333336,1.0,0.5666666666666667
frozenset({'¿Has participado en alguna de las siguientes actividades extracurriculares_clubes estudiantiles'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.13636363636363635,0.6818181818181818,0.13636363636363635,1.0,1.4666666666666668,1.0,0.043388429752066124,inf,0.36842105263157904,0.2,1.0,0.6
frozenset({'¿Has participado en alguna de las siguientes actividades extracurriculares_clubes estudiantiles'}),frozenset({'¿Qué tan importante es para ti el sentido de comunidad dentro de un club?_4'}),0.13636363636363635,0.6818181818181818,0.13636363636363635,1.0,1.4666666666666668,1.0,0.043388429752066124,inf,0.36842105263157904,0.2,1.0,0.6
